mfn;clasificacion;nombre;autor;fechaPublicacion;idEditorial
3911;C.DPI&808.887&M394l;Leer y escribir el Minimun vital;Masferrer, Alberto;2000;Dirección de Publicaciones e Impresos
3912;C.DPI&863&E77t;Trenes;Espino, Miguel Angel;1997;Dirección de publicaciones e Impresos
3913;C.DPI&862&E74d;El Desencanto;Escudos, Jacinta;2001;Dirección de Publicaciones e Impresos
3914;C.DPI&863&L747c;El Canto a un Cantado;Lindo, Ricardo;1999;Dirección de Publicaciones e Impresos
3915;C.DPI&823&J27l;La Vuelta de Tuerca;James, Henry;1999;Dirección General de Publicaciones e Impresos
3917;C.DPI&843&B532T;Tristán e Isolda;Béroul, y Thomas;1998;Dirección de Publicaciones e Impresos
3918;C.DPI&808.838&K47l;Lujuria Tropical;Masferrer, Alberto;1996;Dirección de Publicaciones e Impresos
3919;C.DPI&863&R456c;El Cojo Bueno;Rey Rosa, Rodrigo;2001;Dirección General de Publicaciones e Impresos
3920;C.DPI&282&C828d;Descripción geográfico-moral de la Diócesis de Goathemala : (parroquias correspondientes al actual territorio salvadoreño);Cotéz y Larraz, Pedro;2000;Dirección General de Publicaciones e Impresos
3921;C.DPI&861&G576e;Esta Mueca Circular y Sola;Góchez Sosa, Rafael;1997;Dirección de Publicaciones e Impresos
3922;C.DPI&860.1&R294P;Popol Vuh;Recinos, Adrian;2001;Dirección de Publicaciones e Impresos
3923;C.DPI&861&G345l;La Mágica Raíz;Geoffroy Rivas, Pedro;1998;Dirección de Publicaciones e Impresos
3924;C.DPI&972.84&E77l;Los Símbolos Patrios;Espinosa, Francisco;1996;Dirección de Publicaciones e Impresos
3925;C.DPI&861&A729c;Cuando se Enciendan las Lamparas;Armijo, Roberto;1997;Dirección de Publicaciones e Impresos
3927;C.DPI&808.831&S159c;Cuentos de Barro.;Salazar Arrué, Salvador;2001;Dirección de Publicaciones e Impresos
3928;C.DPI&808.82&M394e;El Dinero Maldito;Masferrer, Alberto;1999;Dirección de Publicaciones e Impresos
3929;C.DPI&808.82&P748m;Mar Adentro;Pohl, Carlos;1989;Dirección de Publicaciones e Impresos
3930;C.DPI&861&E74c;Cantos a la Noche;Escobar Galindo, David;1990;Dirección de Publicaciones e Impresos
3931;C.DPI&861&S211e;El Venado y el Colibrí;Sancho, Eduardo;1996;Dirección de Publicaciones e Impresos
3932;C.DPI&861&H565c;Escritores de la Paz;Herrera, Antonio Alfredo;1995;Dirección de Publicaciones e Impresos
3933;C.DPI&861&M376m;Media Luz;Martell Ccaminos, Ricardo;1980;Dirección de Publicaciones e Impresos
3934;C.DPI&861&E24c;Celebración de la Rosa;Elías, Rolando;1999;Dirección de Publicaciones e Impresos
3936;C,DPI&809.933&R696e;El Infierno;Rodríguez, Guillermo;1979;Dirección de Publicaciones e Impresos
3937;C.DPI&861&E28p;Piel de Ojos;Eguizábal, Daniel;1996;Dirección de Publicaciones e Impresos
3938;C.DPI&861&A316l;Luna de Basalto;Alas, Javier;1995;Dirección de Publicacione e Impresos
3939;C.DPI&808.82&G283o;Obras Completas;Gavidia, Francisco;1976;Dirección de Publicaciones e Impresiones
3940;C.DPI&863&L431;Lazarillo de Tormes;;1999;Dirección de Publicaciones e Impresos
3941;C.DPI&861&E77j;Jícaras Tristes;Espino, Alfredo;1996;Dirección de Publicaciones e Impresos
3942;C.DPI&861&S481m;Meridiano de Orquídea y Niebla;Serpas Gutiérrez, Lilian;1982;Dirección de Publicaciones e Impresos
3943;C.DPI&301&L318s;Salvadoreños en Calgary el Proceso de Configuración de un Nuevo Grupo Etnico;Lara Martínez, Carlos Benjamín;1994;Dirección de Publicaciones e Impresos
3944;C.DPI&511.3&M828t;Teoría del Número;Morales M., Rodolfo;1977;Dirección de Publicaciones e Impresos
3945;C.DPI&809.923&E74h;Hispanoamericana en la Ruta de su Identidad, encuentro de dos Mundos;Escamilla, Manuel Luis;1994;Dirección de Publicaciones e Impresos
3946;C.DPI&808.831&G576d;Desnudos en una Capilla;Góchez, Rafael Francisco;1993;Dirección de Publicaciones e Impresos
3947;C.DPI&900&L813e;Estudio histórico de la evolución política de la humanidad;Lara Velado, Roberto;1973;Dirección de Publicaciones e Impresos
3948;C.DPI&808.838&C355l;Libro de los Descaríos;Castro, Carlos;1996;Dirección de Publicaciones e Impresps
3949;C.DPI&863&O66t;Te Recuerdo que Moriremos algún día;Orellana, Mauricio;2001;Dirección de Publicaciones e Impresos
3950;C.DPI&813&E74c;Cuentos Sucios;Escudos, Jacinta;1997;Dirección de Publicaciones e Impresos
3951;C.DPI&860&M894p;Páginas Colombianas;Mosquera Irurita, Tito;1997;Dirección de Publicaciones e Impresos
3952;C.DPI&928&M533;Memoria del General Manuel José Arce;;1997;Dirección de Publicaciones e Impresos
