mfn;clasificacion;nombre;autor;fechaPublicacion;idEditorial;numeroEdicion
1;001.6&T646t;Fundamentos de los microprocesadores;Tokheim, Roger L.;1985;McGraw-Hill;
2;001.6&M827i;Investigación de operaciones e informática;Mora, José Luis;1986;Trillas;2 ed.
2;001.6&M827i;Investigación de operaciones e informática;Mora, José Luis;1986;Trillas;2 ed.
3;001.1&P149c;El señor es sútil... la ciencia y la vida de Albert Einstein;Pais, Abraham;1984;Ariel;
3;001.1&P149c;El señor es sútil... la ciencia y la vida de Albert Einstein;Pais, Abraham;1984;Ariel;
4;001.6&K94s;Sistema de administración de base de datos;Kruglinski, David;1984;McGraw-Hill;
5;001.42&C346m;Método de investigación 1;Castañeda Jiménez, Juan;1995;McGraww-Hill Interamericana;
6;001.422&2;Investigación de campo;Fiedler, Judith;1982;N.O.E.M.A.;
7;001.5&H477n;Nueva era de las comunicaciones;Hellman, Hal;1978;Marymar;
8;001.64&W841c;computadora y su influencia sobre nuestra vida;U.S.News & world report;1975;Ediciones Ecomomías y Empresas;
9;001.6&G643c;Comunicaciones y redes de procesamiento de datos;González Sainz, Nestor;1986;McGraw-Hill;
10;001.63&D232i;Introducción a los sistemas de las bases de datos;Date, C. J.;1986;Date;
11;001.64&M67p;Principios de automatización;Schuh, J. F.;1972;Paraninfo;
12;001.64&S215i;Informática: presente y futura;Sanders, Donald H.;1985;McGraw-Hill;
13;001.64&P954i;Informática;Price, Wilson T.;1985;Iberoamericana;3 ed.
13;001.64&P954i;Informática;Price, Wilson T.;1985;Iberoamericana;3 ed.
14;001.422&W723r;Razonamiento estadístico;Williams, Frederick;1982;Nueva Editorial Interamericana;
15;001.642&G685t;Programación basic;Gottfried, Byron S.;1983;McGraw-Hill;2 ed.
15;001.642&G685t;Programación basic;Gottfried, Byron S.;1983;McGraw-Hill;2 ed.
15;001.642&G685t;Programación basic;Gottfried, Byron S.;1983;McGraw-Hill;2 ed.
15;001.642&G685t;Programación basic;Gottfried, Byron S.;1983;McGraw-Hill;2 ed.
16;001.422&D751m;Métodos estadísticos aplicados;Downier, N.M.;1973;Harla;
17;001.51&P211c;Comunicación e información: perspectivas teóricas;Paoli, J. Antonio.;1983;Trillas;3 ed.
17;001.51&P211c;Comunicación e información: perspectivas teóricas;Paoli, J. Antonio.;1983;Trillas;3 ed.
18;001.538&G633n;Nuevas tecnologías de comunicación;Gómez Mont, Carmen;1991;Trillas;
18;001.538&G633n;Nuevas tecnologías de comunicación;Gómez Mont, Carmen;1991;Trillas;
19;001.6&W799a;Algoritmos y estructuras de datos;Wirth, Nicklaus;1987;Pentice-Hall Hispanoamericana;
20;001.539&F962i;La imagen en la era cósmica;Fulchignoni, Enrico;1991;Trillas;
21;001.539&M719i;La imagen, comunicación funcional;Moles, Abraham A.;1991;Trillas;
21;001.539&M719i;La imagen, comunicación funcional;Moles, Abraham A.;1991;Trillas;
22;302.2&M719t;Teoría estructural de la comunicación y sociedad;Moles, Abraham A.;1983;Trillas;
22;302.2&M719t;Teoría estructural de la comunicación y sociedad;Moles, Abraham A.;1983;Trillas;
23;001.640&4;Computadora de entrenamiento;Drucker, Harris;1983;Limusa;
23;001.640&4;Computadora de entrenamiento;Drucker, Harris;1983;Limusa;
