mfn;clasificacion;nombre;autor;fechaPublicacion;idEditorial;numeroEdicion
4123;COL.NB&003.2&S612;EESA Symposium on Earthquake Prediction;;1966;;
4124;COL.NB&004.21&G825c;Computers and Information Systems;Gremillian, Lee;1988;McGraw-Hill Company;
4125;COL.NB&158.1&A837g;An Informational Guide For Physical Maintenance;American Association of State Highway Officials;1971;;
4126;COL.NB&177.3&G226f;Fads and Fallacies in the Name of Science.;Gardner, Martín;1957;Dover Publications.;
4127;COL.NB&307.12&V447p;Planning for the Small American City;Van Nest, Russell;1944;Public Administration Service;
4128;COL.NB&310&C388m;Métodos estadísticos: aplicados a la economía y los negocios;Cecil Mells, Frederick;1950;Aguilar;3. ed.
4128;COL.NB&310&C388m;Métodos estadísticos: aplicados a la economía y los negocios;Cecil Mells, Frederick;1950;Aguilar;3. ed.
4130;COL.NB&331&G942;Architects Constractors Engineers;;1974;;
4131;COL.NB&331.117&J62t;Travaux Maritimes;Joly de, G.;1951;DUNOD;
4132;COL.NB&331.79&G946;Guides for Supervisors;;1969;;
4133;COL.NB&333.08&A278;Topographic Survery;Departament of the Army;1951;;
4134;COL.NB&333.91&O68s;Seminario sobre tarifas de agua;Organización Panamericana de la Salud;1961;;
4135;COL.NB&333.71&M732;Nomenclatura Geotécnica e Clasifica Delle Tere;Asociación Geotécnica Italiana;1961;;
4136;COL.NB&333.912 2&S25l;Impianti Domestici Di Acque Potabili;Sartorio, Serafino;1940;Editore Torino;
4137;COL.NB&338&R249e;Economía de las Empresas Industriales;Rautenstrauch, Walter;1953;Fondo de Cultura Económica;
4138;COL.NB&338.45&V598a;Le Analisi Dei Prezzi;Viappiani, Antonio;1930;S.L. Lattes & C. Editore;
4139;COL.NB&338.476 24&L839a;Network Analysis;Lomax, Peter A.;1969;;
4140;COL.NB&338.51&C837;El costo de construcción y mantenimiento de los pavimentos flexibles y de concreto sobre un período de 50 Años.;;S/F;;
4140;COL.NB&338.51&C837;El costo de construcción y mantenimiento de los pavimentos flexibles y de concreto sobre un período de 50 Años.;;S/F;;
4141;COL.NB&338.52&R598e;El Precio de Coste en la Construcción.;Ritter, H.;1947;Labor, S. A.;
4142;COL.NB&338.887 1&M967i;Investigación, Organización y Plantilla de Precios Descompuestos;Muñóz Mezquita, Salvador;1952;Artes Gráficas;
4143;COL.NB&343.094 6&M294;Manual Uniform Traffic Control Devices for Streets and Highways.;;1961;;
4143;COL.NB&343.094 6&M294;Manual Uniform Traffic Control Devices for Streets and Highways.;;1961;;
4144;COL.NB&343.094 6&S474;II Codice Della Strada;;1959;Edicione V.B.E.;
4145;COL.NB&343.098 2&A832;Traffic Assignment August 1973;;1973;;
4147;COL.NB&551.22&A532;Analysis Seismic Risk;Oliviera, Carlos S.;1974;National Technical Information Servece;
4148;COL.NB&693.5&S349u;Ultimate Strength Design Simplified an Equivalent Stress Method;Schmidt, William;1972;Addison Street;
4150;COL.NB&338.6&B562;Organización y dirección industrial;Bethel, Lawrence L.;1952;Fondo de Cultura Económica;
4151;COL.NB&338.9&U81a;Algunos Aspectos de la Participación de los Bancos Nacionales en el Desarrollo Económico de México;Urrutia Valdivieso, Carlos Jeremías;1964;Escuela Nacional de Economía;
4154;COL.NB&551.22&E27;The Alaska Earthquake March 27, 1964 Effects on Communities;;1967;;
4155;COL.NB&551.22&E27;Effects on Communities the Alaska Earthquake;Lemke, Richard W.;1967;Departament of the Interior;
4156;COL.NB&663.93&N863p;Procedimiento Mecánico par sacar la Pulpa del Café Lavado;Nortarbartolo, Leopoldo;1938;;
4157;COL.NB&624.176 2&I43;Informe del Seminario Relativo al Reforzamiento de Edificios Dañados por el Terremoto en San Salvador, Centroamérica. Efectuado en Liverpool, Inglaterra de 1965.;Moran, T. Writtley;1965;;
4158;COL.NB&625.7&G342;Geometric Design Guide for Local Roads and Streets;;1971;American Association;
4160;COL.NB&628.1&R618n;Normas de Diseño para Abastecimientos de Agua en Nucleos Urbanos;Rivas Mijares, Gustavo;1962;;
4161;COL.NB&620.136&C744;Concrete Quality;;1973;;
4162;COL.NB&551.22&R333;Reglamento de Diseño Sismico;;1966;;
4163;COL.NB&620.191&G943;Guide for Structural Lightweight Aggregate Concrete;;1967;American Concrete;
4164;COL.NB&720.954&N396i;India;Nehru, Jawaharlal;1955;;
4198;COL.NB&351.825 6&S785;Standard Specifications for Public Works Construction;;1967;;
4199;COL.NB&352.92&U58;Uniform Building Code;;1955;;
4200;COL.NB&363.233&R333;Reglamento de las Construcciones de Concreto Reforzado (ACI 318-71) y Comentarios;;1973;Instituto Mexicano del Cemento;
4201;COL.NB&363.61&M828s;Sistemas de Abastecimiento de Agua Aplicado al Mejoramiento de Servicios de Agua del Puerto de La Libertad;Morales, Luis Adolfo;1955;;
4202;COL.NB&363.61&A479a;Algunas Consideraciones sobre el Servicio de Aguas de San Salvador;Amaya, Efrain;1955;;
4242;COL.NB&620&E57;Engineering for Architecture;;;;
4244;COL.NB&553.95&C643;Cómo la Cloración Proteje a su Agua Potable;;1947;Wallace & Tiernan Company;
4245;COL.NB&620&L847p;Professional Engineer's Examination Questions and Answers;Londe, William S.;1960;McGraw-Hill;
4246;COL.NB&620&S726m;Relaxation Methods in Engineering Science;Southwell, R.V.;1951;Oxford University Press;
4247;COL.NB&620.003&D545;Pequeño Diccionario Técnico de Ingeniería Inglés-Español;;1930;;
4248;COL.NB&620.004 4&I59;Welding Inspection;;1968;American Welding Society;
4249;COL.NB&620.009&S544e;Engineering in History;Sheldon Kirby, Richard;1956;McGraw-Hill;
4250;COL.NB&620. 1&K37m;Kent's Mechanical Engineers Handbook;Kent, William;1949;;
4252;COL.NB&620.103&F277c;Cours de Mecanique;Favre, Henry;1946;Dunod;
4253;COL.NB&620.103&S165e;Estática aplicada al cálculo de estructuras y el hormigón armado;Saliger, Rudolf;1950;Labor;
4254;COL.NB&620.105&C842c;Cours Practique de Mécanique des Sols;Costet, J.;1969;Dunod;
4255;COL.NB&620.105&F646e;Statique et Dynamique Des Coques;Flugge, Wilhelm;1960;Eyrolles;
4256;COL.NB&620.105&L522e;Exemples de Calculs Pour Les Projects de Foundations;Lehr, Hugo;1960;Eyrolles;
4257;COL.NB&620.105 3&P426s;Introduction Au Calcul des Systemes Hyperstatiques;Pernot, P.;1956;Gauthier-Villars;
4258;COL.NB&620.105&S735s;Soil Engineering;Spangler, M. G.;1966;Internal Textbook Company;
4259;COL.NB&620.106&B389h;Hidromecánica;Becerril, Enrique;1960;Dossat;
4261;COL.NB&620.107 3&D431e;Elements of Engineering Statics;Deresiewicz, H.;1958;Columbia University press;
4262;COL.NB&620.107 3&Ch474P;Energy Principles in Applied Statics;Charlton, T. M.;1959;;
4263;COLNB&620.11&T776s;Statics and stregth of  materials;Trathen, Roland H.;1961;;
4264;COL.NB&620.105 3&Z11m;Laa méthode de Hardy Cross et Ses Sinplifications;Zaytzeff, S.;1951;;
4265;COL.NB&602.112&Ch452f;Failure and Repair of Concrete Structure;Champión, S.;1961;;
4268;COL.NB&387.72&M526r;Entretien Des Routes en Terre en Zone Tropicale;Millier, Gerard;1964;Editions Eyrolles;
4269;COL.NB&387.736&P673;Roads and Airfields I Programed Instruction;S/A;1974;Correspondence Cource Program;
4270;COL.NB&388.041&M464;Maximun Desirable Dimensions and Weights of Vehicles Operated on the Federal-Aid Systems;U.S. Departament of Commerce;1964;s.n;
4272;COL.NB&388.132&E77;Standard Specifications for Highway Bridges;S/A;1961;Published the Association;
4273;COL.NB&388.13&P766;A Policy on Geometric Design of Rural Highways;Shadburn, M. L.;1966;Published by the Association;
4274;COL.NB&388.322 1&P972r;Courd de Routes & Pisted Danles Pay Neufs;Prunet, J.;1948;Edition Eyrolles;
4278;COL.NB&510&S182s;Mathematical solution of engineering problems;Salvadori G. Mario;1953;Columbia University Press;
4279;COL.NB&512.25&A425m;Relaxation Methods;Allen, G.;1954;McGraw-Hill;
4280;COL.NB&512.25&S313m;An Introduction to Relaxation Methods;Shaw, F.S.;1953;Dover publications;
4282;COL.NB&515&C891e;Engineering Analysis a Survey of Numerical Procedures;Grandell H., Stephen;1956;McGraw-Hill;
4283;COL.NB&515&M732;La pratique du calcul des systémes continus;Mombach, Marcel;1957;Editions Desoer;
4284;COL.NB&515.252&C853;Resolution Numérique Des Systémes D'Equations Linéaires;Couffignal, Louis;1956;Editions Eyrolles;
4285;COL.NB&515.252&L473e;Linear Equations;Cohn, P. M.;1958;Routledge and Kegan Paul;
4286;COL.NB&516.24&S785;Standard Field Tables and Trigonometric Formulas;S/A;1956;s.n;
4287;COL.NB&516.15&S775f;Fondamenti Della Teoria Dell Ellisse Di Elasticita;Stabilini, Luigi;1945;Nicola Zanichelli Editore;
