mfn;clasificacion;nombre;autor;fechaPublicacion;idEditorial;numeroEdicion
3226;CPERLA&930.1&N841r;Registro de eclipses de sol en dos monumentos del México Antiguo;Noriega, Raul;1956;Sociedad Mexicana de Antropología;
3227;CPERLA&930&A778a;Antigüedad del hombre en México y Centroamérica:  Catátogo razonado de localidades y bibliografía selecta (1867-1961);Arroyo de Anda, Luis Aveleyra;1962;Universidad Nacional Autónoma de México;
3228;CPERLA&930&R616m;Quetzalcoatl;Saenz, Cesar A.;1962;Instituto Nacional de Antropología e Historia;
3229;CPERLA&980&R613m;Mesoamerica;Piña Chan, Roman;1960;Instituto Nacional de Antropología;
3230;CPERLA&930.1&G518c;Los Chortis: ante el problema maya;Girard, Rafael;1949;Antigua libreria robredo;
3230;CPERLA&930.1&G518c;Los Chortis: ante el problema maya;Girard, Rafael;1949;Antigua libreria robredo;
3230;CPERLA&930.1&G518c;Los Chortis: ante el problema maya;Girard, Rafael;1949;Antigua libreria robredo;
3230;CPERLA&930.1&G518c;Los Chortis: ante el problema maya;Girard, Rafael;1949;Antigua libreria robredo;
3230;CPERLA&930.1&G518c;Los Chortis: ante el problema maya;Girard, Rafael;1949;Antigua libreria robredo;
3231;CPERLA&930&K59z;Zacualpa: A study of ancient quiche artifacts;Kirkland Lothrop, Samuel;1936;Carnegie Institution of Washington;
3232;CPERLA&808.066 9&W698p;Prehistoric maya settlements in the Belize Valley;Willey, Gordon R.;1965;The peabody museum;
3233;CPERLA&700.74&P348m;Magia de la risa;Paz, Octavio;1962;Universidad Veracruzana;
3234;CPERLA&972.81&V712a;Arqueología Guatemalteca;Villacorta C., J. Antonio;1927;Sociedad de Geografia e História de Guatemala;
3235;CPERLA&930.1&B678m;Mexico antiguo;Beyer, Hermann Dr.;1959;Sociedad alemana mexicanista;
3236;CPERLA&911&I517m;Los Mayas del Sur y sus Relaciones con los Nahuas Meridionales;Bernal, Ignacio;1961;Sociedad mexicana de Antropología;
3238;CPERLA&930&C512m;México: a través de los siglos;Chavero, Alfredo;1953;Editorial Cumbre;
3239;CPERLA&722.91&K95a;The art and architecture of ancient america:  The mexican, maya and andean peoples;Kluber, George;1962;Penguin books;
3240;CPERLA&930.1&R987e;Estudios de cultura maya;Ruz Lhuillier, Alberto;1964;Universidad Autónoma de Mexico;
3240;CPERLA&930.1&R987e;Estudios de cultura maya;Ruz Lhuillier, Alberto;1964;Universidad Autónoma de Mexico;
3240;CPERLA&930.1&R987e;Estudios de cultura maya;Ruz Lhuillier, Alberto;1964;Universidad Autónoma de Mexico;
3243;CPERLA&930.1&W516n;Handbook of middle american indians;West, Robert C.;1964;University of Texas press Austin;
3243;CPERLA&930.1&W516n;Handbook of middle american indians;West, Robert C.;1964;University of Texas press Austin;
3243;CPERLA&930.1&W516n;Handbook of middle american indians;West, Robert C.;1964;University of Texas press Austin;
3245;CPERLA&972.81&V712p;Prehistoria e historia de Guatemala;Villacorta C., J. Antonio;1938;Tipografía nacional;
3246;CPERLA&900&B573m;Middle american papers;Beyer, Hermann;1932;The departament of Milddle american research;
3248;CPERLA&930&G518c;El colapso Maya y los Nahuas;Girard, Rafael;1959;s.n;
3249;CPERLA&808.82&Q7j;Joyas coloniales;Quintanilla Meza, Carlos Humberto;1960;Ministerio de eduación pública;
3250;CPERLA&909.499&J61e;Estudios de historia colonial;Jiménez Moreno, Wigberto;1958;Instituto nacional de antropología e historia;
3252;CPERLA&930.1&C212c;civilizaciones prehispánicas de América;Canals Frau, Salvador;1955;Sudamericana;
3253;CPERLA&930.1&B653s;Selva lacandona: Andanzas arqueológicas;Blom, Frans;1957;Editorial cultura;
3255;CPERLA&930.1&G216c;Ciudad arqueológica del Tajin;Garcia Payon, Jose;1951;Contribución de la Universidad Veracruzana;
3256;CPERLA&701.1&F363c;Coatlicue: estetica del arte indigena antiguo;Fernandez, Justino;1959;Instituto de iInvestigaciones Estéticas;
3257;CPERLA&930.1&P153c;Ciudad arqueológica del Tajin: Sus revelaciones;Palacios, Enrique Juan;1932;La impresora;
3258;CPERLA&930.1&D542q;Quezalcoatl: Ensayo Psicoanalítico del mito nahua;Díaz Infante, Fernando.;1963;Cuadernos de la Facultad de Filosofía, Letas y Ciencias.;
3259;CPERLA&708.1&N126m;Manual de arte ornamental americano autoctono;Nadal Mora, Vicente;1948;El Ateneo;
3260;CPERLA&398.209 3&A162l;Leyendas y consejas del antiguo Yucatán;Abreu Gómez, Ermilo;1961;Impresora Juan Pablos;
3261;CPERLA&930.1&D245g;Guía oficial: Sala de las lecturas del golfo;Dávalos Hurtado, Eusebio;1959;Museo nacional de antropología;
3280;CPERLA&930.1&M488c;Cerámicas del Totonacapan: Exploraciones Arqueológicas en el Centro de Veracruz.;Medellin Zenil, Alfonso;1960;Instituto de Antropología;
3281;CPERLA&930.1&V863m;México prehispánico: culturas, deidades, monumentos;Vivó, Jorge A.;1946;Emma Hurtado;
